Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,alpha,bootstrap,break_ties,cache_size,ccp_alpha,class_prior,class_weight,coef0,criterion,decision_function_shape,degree,dual,fit_intercept,fit_prior,fold,gamma,init,intercept_scaling,kernel,l1_ratio,learning_rate,loss,max_depth,max_features,max_iter,max_leaf_nodes,max_samples,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,multi_class,n_estimators,n_iter_no_change,n_jobs,oob_score,penalty,probability,random_state,shrinking,solver,subsample,tol,validation_fraction,verbose,warm_start,accuracy,avg_acc,avg_f1,avg_precision,avg_recall,fscore,precision,recall,training_accuracy_score,training_f1_score,training_log_loss,training_precision_score,training_recall_score,training_roc_auc,training_score,estimator_class,estimator_name
2024-02-18 14:33:16,4.0min,c0ee317a6fb1449d9dac170267e22d4e,wise-wolf-852,LOCAL,trainer.py,vivekstorm,FINISHED,1.0,,,False,200,,,None,0.0,,ovr,3,,,,4,scale,,,rbf,,,,,,-1,,,,,,,,,,,,,,True,None,True,,,0.001,,False,,0.9800942902042954,,,,,0.9803516028955532,0.9723076923076923,0.9885297184567258,0.9975114603798297,0.9975114387778896,0.009148026591109146,0.997515558500771,0.9975114603798297,0.9998117752007137,0.9975114603798297,sklearn.svm._classes.SVC,SVC
2024-02-18 14:29:17,4.0min,8733922153ff45aca7f0dac821bc1829,mysterious-snake-740,LOCAL,trainer.py,vivekstorm,FINISHED,1.0,,,False,200,,,None,0.0,,ovr,3,,,,3,scale,,,rbf,,,,,,-1,,,,,,,,,,,,,,True,None,True,,,0.001,,False,,0.9816657936092195,,,,,0.9818558838776568,0.9762886597938144,0.9874869655891554,0.9985592665356909,0.9985592567481143,0.006351116034624356,0.9985620221437531,0.9985592665356909,0.9997771563850958,0.9985592665356909,sklearn.svm._classes.SVC,SVC
2024-02-18 14:24:54,4.4min,03e3ef9a17374ba985da5b4adbda7523,luminous-dolphin-208,LOCAL,trainer.py,vivekstorm,FINISHED,1.0,,,False,200,,,None,0.0,,ovr,3,,,,2,scale,,,rbf,,,,,,-1,,,,,,,,,,,,,,True,None,True,,,0.001,,False,,0.9863803038239917,,,,,0.9864158829676072,0.9884816753926702,0.9843587069864442,0.9980353634577603,0.998035350111065,0.007377219972715137,0.9980381104914534,0.9980353634577603,0.999926439305565,0.9980353634577603,sklearn.svm._classes.SVC,SVC
2024-02-18 14:20:45,4.1min,14632941893b463db7f0348a0723e735,valuable-loon-743,LOCAL,trainer.py,vivekstorm,FINISHED,1.0,,,False,200,,,None,0.0,,ovr,3,,,,1,scale,,,rbf,,,,,,-1,,,,,,,,,,,,,,True,None,True,,,0.001,,False,,0.9795704557359874,,,,,0.9798032107716209,0.9732510288065843,0.986444212721585,0.9984282907662082,0.9984282841333343,0.005796858225311254,0.998429510740758,0.9984282907662082,0.9999498044328553,0.9984282907662082,sklearn.svm._classes.SVC,SVC
2024-02-18 14:20:45,20.7min,4fdd61f0c3264c57be8d8a8c153f3705,thundering-toad-131,LOCAL,trainer.py,vivekstorm,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9821878709807784,0.9823485069262624,0.9785241445934856,0.9862323967424313,,,,,,,,,,,,
2024-02-18 14:19:51,45.1s,383ca66b1c8f494fbe0510b8f4152e95,illustrious-eel-816,LOCAL,trainer.py,vivekstorm,FINISHED,,,,,,0.0,,,,friedman_mse,,,,,,5,,None,,,,0.1,deviance,3,None,,None,,0.0,None,1,2,0.0,,100,None,,,,,None,,,1.0,0.0001,0.1,0,False,0.9475890985324947,,,,,0.9469214437367304,0.9632829373650108,0.9311064718162839,0.962676794133054,0.962671464795347,0.16263560181777204,0.9630732126014135,0.962676794133054,0.9955804085944788,0.962676794133054,sklearn.ensemble._gb.GradientBoostingClassifier,GradientBoostingClassifier
2024-02-18 14:19:05,45.5s,e37461015dcf4fc083da7057387eccc7,monumental-hawk-350,LOCAL,trainer.py,vivekstorm,FINISHED,,,,,,0.0,,,,friedman_mse,,,,,,4,,None,,,,0.1,deviance,3,None,,None,,0.0,None,1,2,0.0,,100,None,,,,,None,,,1.0,0.0001,0.1,0,False,0.9387113672079623,,,,,0.9376,0.9596069868995634,0.9165797705943691,0.9611001964636542,0.9610898884253054,0.1615221847487278,0.9617545909702482,0.9611001964636542,0.9957879983531188,0.9611001964636542,sklearn.ensemble._gb.GradientBoostingClassifier,GradientBoostingClassifier
2024-02-18 14:18:14,51.4s,9e2f63493d35418aa244c71b10143982,delightful-pig-884,LOCAL,trainer.py,vivekstorm,FINISHED,,,,,,0.0,,,,friedman_mse,,,,,,3,,None,,,,0.1,deviance,3,None,,None,,0.0,None,1,2,0.0,,100,None,,,,,None,,,1.0,0.0001,0.1,0,False,0.9518072289156626,,,,,0.9513227513227513,0.9656283566058003,0.9374348279457768,0.963064833005894,0.9630598371683947,0.1621551988032462,0.9634404562194543,0.963064833005894,0.9957216084539903,0.963064833005894,sklearn.ensemble._gb.GradientBoostingClassifier,GradientBoostingClassifier
2024-02-18 14:17:24,50.0s,bb7827f0cf2946e2a41c02c141d259fb,funny-mule-491,LOCAL,trainer.py,vivekstorm,FINISHED,,,,,,0.0,,,,friedman_mse,,,,,,2,,None,,,,0.1,deviance,3,None,,None,,0.0,None,1,2,0.0,,100,None,,,,,None,,,1.0,0.0001,0.1,0,False,0.9518072289156626,,,,,0.9509071504802561,0.9737704918032787,0.9290928050052137,0.9639816633922724,0.9639769028057016,0.1633392262961638,0.9643510050382971,0.9639816633922724,0.9954832223975847,0.9639816633922724,sklearn.ensemble._gb.GradientBoostingClassifier,GradientBoostingClassifier
2024-02-18 14:16:32,51.2s,e683747c506e4debb37a7bf0834e9605,rebellious-lark-515,LOCAL,trainer.py,vivekstorm,FINISHED,,,,,,0.0,,,,friedman_mse,,,,,,1,,None,,,,0.1,deviance,3,None,,None,,0.0,None,1,2,0.0,,100,None,,,,,None,,,1.0,0.0001,0.1,0,False,0.9476165531691986,,,,,0.9475341028331584,0.9535374868004224,0.9416058394160584,0.9643745907007204,0.9643697720205794,0.15998669288326942,0.9647510928342776,0.9643745907007204,0.9960730803540795,0.9643745907007204,sklearn.ensemble._gb.GradientBoostingClassifier,GradientBoostingClassifier
2024-02-18 14:16:32,4.2min,eb0a2a17214a46dfbc650155f28703c0,selective-mole-702,LOCAL,trainer.py,vivekstorm,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9475062953481961,0.9468570896745792,0.963165251894815,0.9311639429555404,,,,,,,,,,,,
2024-02-18 14:15:41,38.8s,88dc3b71144f4c79a193610b5121d800,efficient-shrimp-699,LOCAL,trainer.py,vivekstorm,FINISHED,,,True,,,0.0,,None,,gini,,,,,,5,,,,,,,,None,auto,,None,None,0.0,None,1,2,0.0,,100,,None,False,,,None,,,,,,0,False,0.9785115303983228,,,,,0.9787234042553191,0.9731682146542827,0.9843423799582464,0.9994761655316919,0.9994761640942373,0.03710308319762764,0.9994767111925965,0.9994761655316919,0.9999897782778113,0.9994761655316919,sklearn.ensemble._forest.RandomForestClassifier,RandomForestClassifier
2024-02-18 14:14:56,45.1s,8323f2f09b664d598fe568d20296292b,indecisive-ram-363,LOCAL,trainer.py,vivekstorm,FINISHED,,,True,,,0.0,,None,,gini,,,,,,4,,,,,,,,None,auto,,None,None,0.0,None,1,2,0.0,,100,,None,False,,,None,,,,,,0,False,0.9696176008381352,,,,,0.9700413223140496,0.9611054247697032,0.9791449426485923,0.9994760969220694,0.9994760955200024,0.036298373380320076,0.9994766427965971,0.9994760969220694,0.9999675427159816,0.9994760969220694,sklearn.ensemble._forest.RandomForestClassifier,RandomForestClassifier
2024-02-18 14:14:16,40.2s,ecacb23ee87d4c9dbe7c795de618324f,bright-newt-931,LOCAL,trainer.py,vivekstorm,FINISHED,,,True,,,0.0,,None,,gini,,,,,,3,,,,,,,,None,auto,,None,None,0.0,None,1,2,0.0,,100,,None,False,,,None,,,,,,0,False,0.9816657936092195,,,,,0.9818746763335059,0.9753086419753086,0.9885297184567258,0.999607072691552,0.9996070719231124,0.0363065753870216,0.9996073798259776,0.999607072691552,0.9999611953612847,0.999607072691552,sklearn.ensemble._forest.RandomForestClassifier,RandomForestClassifier
2024-02-18 14:13:39,36.7s,bcb1bee80fa6419bac6957de3b90bdb6,welcoming-deer-916,LOCAL,trainer.py,vivekstorm,FINISHED,,,True,,,0.0,,None,,gini,,,,,,2,,,,,,,,None,auto,,None,None,0.0,None,1,2,0.0,,100,,None,False,,,None,,,,,,0,False,0.9848088004190676,,,,,0.9848721961398017,0.9853862212943633,0.9843587069864442,0.9997380484610348,0.9997380484610348,0.0362685663733822,0.9997380484610348,0.9997380484610348,0.999958759349482,0.9997380484610348,sklearn.ensemble._forest.RandomForestClassifier,RandomForestClassifier
2024-02-18 14:13:11,27.4s,49e491741566441288e8401e9d9fd33c,welcoming-quail-315,LOCAL,trainer.py,vivekstorm,FINISHED,,,True,,,0.0,,None,,gini,,,,,,1,,,,,,,,None,auto,,None,None,0.0,None,1,2,0.0,,100,,None,False,,,None,,,,,,0,False,0.9711891042430592,,,,,0.9714878175220323,0.965979381443299,0.9770594369134515,0.9997380484610348,0.9997380481284939,0.03552527970332197,0.9997381850007995,0.9997380484610348,0.9999443834488437,0.9997380484610348,sklearn.ensemble._forest.RandomForestClassifier,RandomForestClassifier
2024-02-18 14:13:11,3.3min,ef9b9c2563494b7a83c20d606014faa8,caring-newt-922,LOCAL,trainer.py,vivekstorm,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9771585659015608,0.9773998833129418,0.9721895768273914,0.9826870369926921,,,,,,,,,,,,
2024-02-18 14:12:45,18.1s,00c68d3c9eeb40259361f19ea0c8213b,grandiose-grub-458,LOCAL,trainer.py,vivekstorm,FINISHED,1.0,,,,,,,None,,,,,False,True,,5,,,1,,None,,,,,1000,,,,,,,,auto,,,None,,l2,,None,,lbfgs,,0.0001,,0,False,0.9722222222222222,,,,,0.9725246241575947,0.9660144181256437,0.9791231732776617,0.9844159245678366,0.9844147385396507,0.10386162814598772,0.9845014055319434,0.9844159245678366,0.9981148811810548,0.9844159245678366,sklearn.linear_model._logistic.LogisticRegression,LogisticRegression
2024-02-18 14:12:31,13.9s,26d9e36711504a78a2702ac65c034ac5,gaudy-pug-655,LOCAL,trainer.py,vivekstorm,FINISHED,1.0,,,,,,,None,,,,,False,True,,4,,,1,,None,,,,,1000,,,,,,,,auto,,,None,,l2,,None,,lbfgs,,0.0001,,0,False,0.9701414353064431,,,,,0.9704816157431382,0.9639917695473251,0.9770594369134515,0.983366077275704,0.9833654369013949,0.10386685555556477,0.9834015441772004,0.983366077275704,0.9981274274342963,0.983366077275704,sklearn.linear_model._logistic.LogisticRegression,LogisticRegression
2024-02-18 14:12:17,13.8s,39c2cfe1804b454180d5299d5e3cacbe,salty-elk-829,LOCAL,trainer.py,vivekstorm,FINISHED,1.0,,,,,,,None,,,,,False,True,,3,,,1,,None,,,,,1000,,,,,,,,auto,,,None,,l2,,None,,lbfgs,,0.0001,,0,False,0.9738082765845992,,,,,0.974120082815735,0.9671120246659815,0.9812304483837331,0.9841519318925999,0.9841508839920836,0.10281863805364118,0.9842244451738541,0.9841519318925999,0.998255506759075,0.9841519318925999,sklearn.linear_model._logistic.LogisticRegression,LogisticRegression
2024-02-18 14:12:03,13.5s,7842e9e26cf142b19142976563c68e32,delicate-shad-262,LOCAL,trainer.py,vivekstorm,FINISHED,1.0,,,,,,,None,,,,,False,True,,2,,,1,,None,,,,,1000,,,,,,,,auto,,,None,,l2,,None,,lbfgs,,0.0001,,0,False,0.9795704557359874,,,,,0.9796344647519581,0.9811715481171548,0.9781021897810219,0.9819253438113948,0.981923763498511,0.10576574275288023,0.9820278708952587,0.9819253438113948,0.998065738008646,0.9819253438113948,sklearn.linear_model._logistic.LogisticRegression,LogisticRegression
2024-02-18 14:11:36,26.8s,4160e42f774740bdb5c589feceea1ba2,righteous-fox-983,LOCAL,trainer.py,vivekstorm,FINISHED,1.0,,,,,,,None,,,,,False,True,,1,,,1,,None,,,,,1000,,,,,,,,auto,,,None,,l2,,None,,lbfgs,,0.0001,,0,False,0.9727606076479832,,,,,0.9730848861283644,0.9660842754367934,0.9801876955161627,0.9832351015062214,0.9832336357087639,0.10259777019575485,0.9833379986476221,0.9832351015062214,0.9983967954436287,0.9832351015062214,sklearn.linear_model._logistic.LogisticRegression,LogisticRegression
2024-02-18 14:11:36,1.6min,276bd66bbc804c06b0d1c1ccc79200fc,resilient-deer-606,LOCAL,trainer.py,vivekstorm,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9737005994994471,0.9739691347193581,0.9688748071785798,0.9791405887744062,,,,,,,,,,,,
